question,contexts,ground_truth,persona_name,query_style,query_length,synthesizer_name
What are the risk factors for metformin-associated lactic acidosis related to alcohol consumption?,"['Postmarketing cases of metformin-associated lactic acidosis have resulted in death, hypothermia, hypotension, and resistant bradyarrhythmias. The onset of metformin-associated lactic acidosis is often subtle, accompanied only by nonspecific symptoms such as malaise, myalgias, respiratory distress, somnolence, and abdominal pain. Metformin-associated lactic acidosis was characterized by elevated blood lactate levels (>5 mmol/Liter), anion gap acidosis (without evidence of ketonuria or ketonemia), an increased lactate/pyruvate ratio; and metformin plasma levels generally >5 mcg/mL [see\n  \n   Warnings and Precautions (\n   \n    5.1)\n  \n   ]. \n     Risk factors for metformin-associated lactic acidosis include renal impairment, concomitant use of certain drugs (e.g. carbonic anhydrase inhibitors such as topiramate), age 65 years old or greater, having a radiological study with contrast, surgery and other procedures, hypoxic states (e.g., acute congestive heart failure), excessive alcohol intake, and hepatic impairment. \n     Steps to reduce the risk of and manage metformin-associated lactic acidosis in these high risk groups are provided [see\n  \n   Dosage and Administration (\n   \n    2.3)\n  \n   , (\n  \n   2.7),\xa0\n  \n   Contraindications\n                        (\n   \n    4)\n  \n   ,\n  \n   Warnings and Precautions (\n   \n    5.1)\n                        ]. \n     If metformin-associated lactic acidosis is suspected, immediately discontinue metformin hydrochloride tablets and institute general supportive measures in a hospital setting. Prompt hemodialysis is recommended [see\n  \n   Warnings and Precautions (\n   \n    5.1)\n  \n   ].']","Risk factors for metformin-associated lactic acidosis include excessive alcohol intake, along with renal impairment, concomitant use of certain drugs, age 65 years or greater, having a radiological study with contrast, surgery and other procedures, and hypoxic states.",Medical Researcher,WEB_SEARCH_LIKE,MEDIUM,single_hop_specific_query_synthesizer
What are the contraindications for metformin hydrochloride in patients with type 2 diabetes mellitus?,"['<1-hop>\n\nMetformin hydrochloride tablets are contraindicated in patients with:\n                  • Severe renal impairment (eGFR below 30 mL/min/1.73 m\n \n  2) [see\n \n  Warnings and Precautions (\n  \n   5.1)\n \n  ]. \n    • Hypersensitivity to metformin. \n    • Acute or chronic metabolic acidosis, including diabetic ketoacidosis, with or without coma.', '<2-hop>\n\nMetformin hydrochloride tablets are indicated as an adjunct to diet and exercise to improve glycemic control in adults and pediatric patients 10 years of age and older with type 2 diabetes mellitus.', '<3-hop>\n\n• Assess renal function prior to initiation of metformin hydrochloride tablets and periodically thereafter. \n    • Metformin hydrochloride tablets are contraindicated in patients with an estimated glomerular filtration rate (eGFR) below 30 mL/minute/1.73 m\n \n  2. \n    • Initiation of metformin hydrochloride tablets in patients with an eGFR between 30 to 45 mL/minute/1.73 m\n \n  2is not \n    recommended. \n    • In patients taking metformin hydrochloride tablets whose eGFR later falls below 45 mL/min/1.73 m\n \n  2, assess the benefit risk of continuing therapy. \n    • Discontinue metformin hydrochloride tablets if the patient’s eGFR later falls below 30 mL/minute/1.73 m\n \n  2[see\n \n  Warnings and Precautions (\n  \n   5.1)\n \n  ].']","Metformin hydrochloride is contraindicated in patients with severe renal impairment (eGFR below 30 mL/min/1.73 m²), hypersensitivity to metformin, and acute or chronic metabolic acidosis, including diabetic ketoacidosis, with or without coma.",,,,multi_hop_abstract_query_synthesizer
"What are the risks of lactic acidosis in elderly patients using metformin, especially considering their hepatic impairment?","['<1-hop>\n\nControlled clinical studies of metformin hydrochloride tablets did not include sufficient numbers of elderly patients to determine whether they respond differently from younger patients. In general, dose selection for an elderly patient should be cautious, usually starting at the low end of the dosing range, reflecting the greater frequency of decreased hepatic, renal, or cardiac function, and of concomitant disease or other drug therapy and the higher risk of lactic acidosis. Assess renal function more frequently in elderly patients [see\n \n  Warnings and Precautions (\n  \n   5.1)\n \n  ].', '<2-hop>\n\nUse of metformin in patients with hepatic impairment has been associated with some cases of lactic acidosis. Metformin hydrochloride tablets are not recommended in patients with hepatic impairment. [see\n \n  Warnings and Precautions (\n  \n   5.1)\n \n  ].']","Elderly patients using metformin hydrochloride tablets face a higher risk of lactic acidosis due to the greater frequency of decreased hepatic, renal, or cardiac function, as well as concomitant diseases or other drug therapies. Additionally, the use of metformin in patients with hepatic impairment has been associated with some cases of lactic acidosis, leading to the recommendation that metformin is not advised for these patients.",,,,multi_hop_specific_query_synthesizer
What topiramate do with metformin?,"['Postmarketing cases of metformin-associated lactic acidosis have resulted in death, hypothermia, hypotension, and resistant bradyarrhythmias. The onset of metformin-associated lactic acidosis is often subtle, accompanied only by nonspecific symptoms such as malaise, myalgias, respiratory distress, somnolence, and abdominal pain. Metformin-associated lactic acidosis was characterized by elevated blood lactate levels (>5 mmol/Liter), anion gap acidosis (without evidence of ketonuria or ketonemia), an increased lactate/pyruvate ratio; and metformin plasma levels generally >5 mcg/mL [see\n  \n   Warnings and Precautions (\n   \n    5.1)\n  \n   ]. \n     Risk factors for metformin-associated lactic acidosis include renal impairment, concomitant use of certain drugs (e.g. carbonic anhydrase inhibitors such as topiramate), age 65 years old or greater, having a radiological study with contrast, surgery and other procedures, hypoxic states (e.g., acute congestive heart failure), excessive alcohol intake, and hepatic impairment. \n     Steps to reduce the risk of and manage metformin-associated lactic acidosis in these high risk groups are provided [see\n  \n   Dosage and Administration (\n   \n    2.3)\n  \n   , (\n  \n   2.7),\xa0\n  \n   Contraindications\n                        (\n   \n    4)\n  \n   ,\n  \n   Warnings and Precautions (\n   \n    5.1)\n                        ]. \n     If metformin-associated lactic acidosis is suspected, immediately discontinue metformin hydrochloride tablets and institute general supportive measures in a hospital setting. Prompt hemodialysis is recommended [see\n  \n   Warnings and Precautions (\n   \n    5.1)\n  \n   ].']",Topiramate is a carbonic anhydrase inhibitor that is a risk factor for metformin-associated lactic acidosis.,Medical Researcher,POOR_GRAMMAR,SHORT,single_hop_specific_query_synthesizer
What are the indications for metformin hydrochloride tablets in relation to tipe 2 diabetes mellitus?,['Metformin hydrochloride tablets are indicated as an adjunct to diet and exercise to improve glycemic control in adults and pediatric patients 10 years of age and older with type 2 diabetes mellitus.'],Metformin hydrochloride tablets are indicated as an adjunct to diet and exercise to improve glycemic control in adults and pediatric patients 10 years of age and older with type 2 diabetes mellitus.,Clinical Pharmacologist,MISSPELLED,LONG,single_hop_specific_query_synthesizer
"What is the maximum dose of metformin hydrochloride tablets that can be taken in a day, and how is it recommended to be divided?","['Metformin Hydrochloride Tablets\n                        \n                        • The recommended starting dose of metformin hydrochloride tablets is 500 mg orally twice a day or 850 mg once a day, given with meals. \n    • Increase the dose in increments of 500 mg weekly or 850 mg every 2 weeks on the basis of glycemic control and tolerability, up to a maximum dose of 2,550 mg per day, given in divided doses. \n    • Doses above 2,000 mg may be better tolerated given 3 times a day with meals.']","The maximum dose of metformin hydrochloride tablets that can be taken in a day is 2,550 mg, and it should be given in divided doses.",Medical Researcher,POOR_GRAMMAR,LONG,single_hop_specific_query_synthesizer
What is the starting dose for metformin hydrochloride for kids 10 years and older and how to increase it?,"['• The recommended starting dose of metformin hydrochloride tablets for pediatric patients 10 years of age and older is \n    500 mg orally twice a day, given with meals. \n    • Increase dosage in increments of 500 mg weekly on the basis of glycemic control and tolerability, up to a maximum of 2,000 mg per day, given in divided doses twice daily.']","The starting dose of metformin hydrochloride tablets for pediatric patients 10 years of age and older is 500 mg orally twice a day, given with meals. The dosage can be increased in increments of 500 mg weekly based on glycemic control and tolerability, up to a maximum of 2,000 mg per day, given in divided doses twice daily.",Medical Researcher,POOR_GRAMMAR,LONG,single_hop_specific_query_synthesizer
What are the contraindications for metformin hydrochloride and how is it used in treating type 2 diabetes mellitus in pediatric patients?,"['<1-hop>\n\nMetformin hydrochloride tablets are contraindicated in patients with:\n                  • Severe renal impairment (eGFR below 30 mL/min/1.73 m\n \n  2) [see\n \n  Warnings and Precautions (\n  \n   5.1)\n \n  ]. \n    • Hypersensitivity to metformin. \n    • Acute or chronic metabolic acidosis, including diabetic ketoacidosis, with or without coma.', '<2-hop>\n\nMetformin Hydrochloride Tablets\n                             The safety and effectiveness of metformin hydrochloride tablets for the treatment of type 2 diabetes mellitus have been established in pediatric patients 10 to 16 years old. Safety and effectiveness of metformin hydrochloride tablets have not been established in pediatric patients less than 10 years old. \n    Use of metformin hydrochloride tablets in pediatric patients 10 to 16 years old for the treatment of type 2 diabetes mellitus is supported by evidence from adequate and well-controlled studies of metformin hydrochloride tablets in adults with additional data from a controlled clinical study in pediatric patients 10 to 16 years old with type 2 diabetes mellitus, which demonstrated a similar response in glycemic control to that seen in adults\n \n  [see Clinical Studies (\n  \n   14.1)]\n \n  . In this study, adverse reactions were similar to those described in adults. A maximum daily dose of 2,000 mg of metformin hydrochloride tablets are recommended. [See\n \n  Dosage and Administration (\n  \n   2.2).\n \n  ]', '<3-hop>\n\nRisk Summary\n                             Limited data with metformin hydrochloride in pregnant women are not sufficient to determine a drug-associated risk for major birth defects or miscarriage. Published studies with metformin use during pregnancy have not reported a clear association with metformin and major birth defect or miscarriage risk\n \n  [see Data]. There are risks to the mother and fetus associated with poorly controlled diabetes mellitus in pregnancy\n \n  [see Clinical Considerations].\n\n \n                        No adverse developmental effects were observed when metformin was administered to pregnant Sprague Dawley rats and rabbits during the period of organogenesis at doses up to 2 and 5 times, respectively, a 2,550 mg clinical dose, based on body surface area\n \n  [see Data].\n\n \n                        The estimated background risk of major birth defects is 6 to 10% in women with pre-gestational diabetes mellitus with an HbA1C >7 and has been reported to be as high as 20 to 25% in women with a HbA1C >10. The estimated background risk of miscarriage for the indicated population is unknown. In the U.S. general population, the estimated background risk of major birth defects and miscarriage in clinically recognized pregnancies is 2 to 4% and 15 to 20%, respectively.\n                        \n                           Clinical Considerations\n                           \n                           Disease-associated maternal and/or embryo/fetal risk\n                             Poorly-controlled diabetes mellitus in pregnancy increases the maternal risk for diabetic ketoacidosis, pre-eclampsia, spontaneous abortions, preterm delivery, stillbirth and delivery complications. Poorly controlled diabetes mellitus increases the fetal risk for major birth defects, stillbirth, and macrosomia related morbidity. \n  \n                           Data\n                           \n                           Human Data\n                             Published data from post-marketing studies have not reported a clear association with metformin and major birth defects, miscarriage, or adverse maternal or fetal outcomes when metformin was used during pregnancy. However, these studies cannot definitely establish the absence of any metformin-associated risk because of methodological limitations, including small sample size and inconsistent comparator groups. \n  \n                           Animal Data\n                             Metformin hydrochloride did not adversely affect development outcomes when administered to pregnant rats and rabbits at doses up to 600 mg/kg/day. This represents an exposure of about 2 and 5 times a 2,550 mg clinical dose based on body surface area comparisons for rats and rabbits, respectively. Determination of fetal concentrations demonstrated a partial placental barrier to metformin.']","Metformin hydrochloride tablets are contraindicated in patients with severe renal impairment (eGFR below 30 mL/min/1.73 m²), hypersensitivity to metformin, and acute or chronic metabolic acidosis, including diabetic ketoacidosis, with or without coma. For the treatment of type 2 diabetes mellitus, the safety and effectiveness of metformin hydrochloride tablets have been established in pediatric patients aged 10 to 16 years old, supported by evidence from well-controlled studies in adults and additional data from a controlled clinical study in this age group, which demonstrated a similar response in glycemic control to that seen in adults.",,,,multi_hop_abstract_query_synthesizer
What are the contraindications for metformin hydrochloride tablets and how do they relate to the findings from the clinical trial involving obese patients with type 2 diabetes?,"['<1-hop>\n\nAdult Clinical Studies\n                           \nA double-blind, placebo-controlled, multicenter US clinical trial involving obese patients with type 2 diabetes mellitus whose hyperglycemia was not adequately controlled with dietary management alone (baseline fasting plasma glucose [FPG] of approximately 240 mg/dL) was conducted. Patients were treated with metformin hydrochloride (up to 2,550 mg/day) or placebo for 29 weeks. The results are presented in Table 6.\n \n                        \n                           Table 6: Mean Change in Fasting Plasma Glucose and HbA1c at Week 29 Comparing Metformin Hydrochloride Tablets vs Placebo in Patient with Type 2 Diabetes Mellitus.\n                        \n                        \n                           \n                              \n                                 \n                                 \n                                    Metformin Hydrochloride\n                                    \n                                    (n=141)\n                                 \n                                 \n                                    Placebo\n                                    (n=145)\n                                 \n                                 \n                                    p-Value\n                                 \n                              \n                              \n                                 \n                                    \n                                    FPG (mg/dL)Baseline\n     \n\t\t\tChange at FINAL VISIT\n    \n                                 \n                                    \n\t\t\t241.5\n     \n\t\t\t–53.0\n    \n                                 \n                                    \n\t\t\t237.7\n     \n\t\t\t6.3\n    \n                                 \n                                    \n\t\t\tNS \n     *\n                                    \n\t\t\t0.001\n    \n                              \n                              \n                                 \n                                    Hemoglobin A\n                                    1c \n                                    (%)\n                                    \n\t\t\tBaseline\n     \n\t\t\tChange at FINAL VISIT\n    \n                                 \n                                    \n\t\t\t8.4\n     \n\t\t\t–1.4\n    \n                                 \n                                    \n\t\t\t8.2\n     \n\t\t\t0.4\n    \n                                 \n                                    \n\t\t\tNS \n     *\n                                    \n\t\t\t0.001\n    \n                              \n                           \n                        \n                        * Not statistically significant\n  \nMean baseline body weight was 201 lbs and 206 lbs in the metformin hydrochloride and placebo arms, respectively. Mean change in body weight from baseline to week 29 was -1.4 lbs and -2.4 lbs in the metformin hydrochloride and placebo arms, respectively. A 29-week, double-blind, placebo-controlled study of metformin hydrochloride and glyburide, alone and in combination, was conducted in obese patients with type 2 diabetes mellitus who had failed to achieve adequate glycemic control while on maximum doses of glyburide (baseline FPG of approximately 250 mg/dL). Patients randomized to the combination arm started therapy with metformin hydrochloride 500 mg and glyburide 20 mg. At the end of each week of the first 4 weeks of the trial, these patients had their dosages of metformin hydrochloride increased by 500 mg if they had failed to reach target fasting plasma glucose. After week 4, such dosage adjustments were made monthly, although no patient was allowed to exceed metformin hydrochloride 2,500 mg. Patients in the metformin hydrochloride only arm (metformin plus placebo) discontinued glyburide and followed the same titration schedule. Patients in the glyburide arm continued the same dose of glyburide. At the end of the trial, approximately 70% of the patients in the combination group were taking metformin hydrochloride 2,000 mg/glyburide 20 mg or metformin hydrochloride 2,500 mg/glyburide 20 mg. The results are displayed in Table 7.\n \n                        \n                           Table 7: Mean Change in Fasting Plasma Glucose and HbA1c at Week 29 Comparing Metformin Hydrochloride / Glyburide (Comb) vs Glyburide (Glyb) vs Metformin Hydrochloride (MET): in Patients with Type 2 Diabetes Mellitus with Inadequate Glycemic Control on Glyburide\n                        \n                        \n                           \n                              \n                              \n                           \n                           \n                              \n                                 \n                                 \n                                    Comb (n=213)\n                                 \n                                 \n                                    Glyb\n                                    \n                                    (n=209)\n                                 \n                                 \n                                    MET\n                                    \n                                    (n=210)\n                                 \n                                 \n                                    p-Values\n                                 \n                              \n                              \n                                 \n                                    Glyb vs\n                                    Comb\n                                 \n                                 \n                                    MET vs\n                                    Comb\n                                 \n                                 \n                                    MET vs\n                                    Glyb\n                                 \n                              \n                              \n                                 \n                                    Fasting Plasma Glucose (mg/dL)\n                                    \n\t\t\tBaseline\n     \n\t\t\tChange at FINAL VISIT\n    \n                                 \n                                    \n                                    \n\t\t\t250.5\n     \n\t\t\t–63.5\n    \n                                 \n                                    \n                                    \n\t\t\t247.5\n     \n\t\t\t13.7\n    \n                                 \n                                    \n                                    \n\t\t\t253.9\n     \n\t\t\t–0.9\n    \n                                 \n                                    \n                                    \n\t\t\tNS*\n     \n\t\t\t0.001\n    \n                                 \n                                    \n                                    \n\t\t\tNS*\n     \n\t\t\t0.001\n    \n                                 \n                                    \n                                    \n\t\t\tNS*\n     \n\t\t\t0.025\n    \n                              \n                              \n                                 \n                                    Hemoglobin A\n                                    1c \n                                    (%)\n                                    \n\t\t\tBaseline\n     \n\t\t\tChange at FINAL VISIT\n    \n                                 \n                                    \n\t\t\t8.8\n     \n\t\t\t–1.7\n    \n                                 \n                                    \n\t\t\t8.5\n     \n\t\t\t0.2\n    \n                                 \n                                    \n\t\t\t8.9\n     \n\t\t\t–0.4\n    \n                                 \n                                    \n\t\t\tNS*\n     \n\t\t\t0.001\n    \n                                 \n                                    \n\t\t\tNS*\n     \n\t\t\t0.001\n    \n                                 \n                                    \n\t\t\t0.007\n     \n\t\t\t0.001\n    \n                              \n                           \n                        \n                        * Not statistically significant\n  \nMean baseline body weight was 202 lbs, 203 lbs, and 204 lbs in the metformin hydrochloride /glyburide, glyburide, and metformin hydrochloride arms, respectively. Mean change in body weight from baseline to week 29 was 0.9 lbs, -0.7 lbs, and -8.4 lbs in the metformin hydrochloride/glyburide, glyburide, and metformin hydrochloride arms, respectively.\n  \n                           Pediatric Clinical Studies\n                           \nA double-blind, placebo-controlled study in pediatric patients aged 10 to 16 years with type 2 diabetes mellitus (mean FPG 182.2 mg/dL), treatment with metformin hydrochloride (up to 2,000 mg/day) for up to 16 weeks (mean duration of treatment 11 weeks) was conducted. The results are displayed in Table 8.\n \n                        \n                           Table 8: Mean Change in Fasting Plasma Glucose at Week 16 Comparing Metformin Hydrochloride Tablets vs Placebo in Pediatric Patients \n   awith Type 2 Diabetes Mellitus \n  \n                           \n                        \n                        \n                           \n                              \n                                 \n                                 \n                                    Metformin Hydrochloride\n                                 \n                                 \n                                    Placebo\n                                 \n                                 \n                                    p-Value\n                                 \n                              \n                              \n                                 \n                                    FPG (mg/dL)\n                                    \n\t\t\tBaseline\n     \n\t\t\tChange at FINAL VISIT\n    \n                                 \n                                    (n=37)\n                                    \n\t\t\t162.4\n     \n\t\t\t–42.9\n    \n                                 \n                                    (n=36)\n                                    \n\t\t\t192.3\n     \n\t\t\t21.4\n    \n                                 \n                                    \n                                    \n\t\t\t<0.001\n    \n                              \n                           \n                        \n                        \n                           aPediatric patients mean age 13.8 years (range 10 to 16 years)\n  \nMean baseline body weight was 205 lbs and 189 lbs in the metformin hydrochloride and placebo arms, respectively. Mean change in body weight from baseline to week 16 was -3.3 lbs and -2.0 lbs in the metformin hydrochloride and placebo arms, respectively.', '<2-hop>\n\nMetformin hydrochloride tablets are contraindicated in patients with:\n                  • Severe renal impairment (eGFR below 30 mL/min/1.73 m\n \n  2) [see\n \n  Warnings and Precautions (\n  \n   5.1)\n \n  ]. \n    • Hypersensitivity to metformin. \n    • Acute or chronic metabolic acidosis, including diabetic ketoacidosis, with or without coma.']","Metformin hydrochloride tablets are contraindicated in patients with severe renal impairment (eGFR below 30 mL/min/1.73 m²), hypersensitivity to metformin, and acute or chronic metabolic acidosis, including diabetic ketoacidosis, with or without coma. In the clinical trial involving obese patients with type 2 diabetes, the study focused on patients whose hyperglycemia was not adequately controlled with dietary management alone, indicating the importance of ensuring that patients do not have these contraindications before treatment with metformin.",,,,multi_hop_abstract_query_synthesizer
"What are the contraindications for using metformin in patients, particularly in relation to its use as an insulin sensitizer for treating insulin resistance in conditions like polycystic ovary syndrome (PCOS)?","['<1-hop>\n\nMetformin is the gold standard insulin sensitizer, which is widely used to treat insulin resistance in polycystic ovary syndrome (PCOS). However, metformin may induce gastrointestinal side effects.', '<2-hop>\n\nMetformin hydrochloride tablets are contraindicated in patients with:\n                  • Severe renal impairment (eGFR below 30 mL/min/1.73 m\n \n  2) [see\n \n  Warnings and Precautions (\n  \n   5.1)\n \n  ]. \n    • Hypersensitivity to metformin. \n    • Acute or chronic metabolic acidosis, including diabetic ketoacidosis, with or without coma.']","Metformin is contraindicated in patients with severe renal impairment (eGFR below 30 mL/min/1.73 m²), hypersensitivity to metformin, and acute or chronic metabolic acidosis, including diabetic ketoacidosis, with or without coma. These contraindications are important to consider, especially since metformin is the gold standard insulin sensitizer used to treat insulin resistance in conditions such as polycystic ovary syndrome (PCOS), despite its potential to induce gastrointestinal side effects.",,,,multi_hop_abstract_query_synthesizer
